PREVIOUS,CURRENT,COUNTER
cottage,elle,4
Un,endroit,4
temps,d’aller,4
temps,de reprendre,4
sert,le,4
petit,jeu,4
te,dire,4
pas,remarqué,4
les,vœux,4
vous,savez,4
La,petite,4
À,ce,4
Qui,est,4
on,dirait,4
sens,mes,4
Ne,pas,4
comprends,que,4
que,mal,4
Lily,et Mary,4
car,le,4
était,venue,4
qu’il,me,4
mal,Je,4
je,sois,4
là,Je,4
petit,peu,4
eu,l’occasion,4
d’une,voix,4
pas,ma,4
Elle,devait,4
d’analyse,sociale,4
venait,de se,4
dit,celuici,4
à son,comble,4
les,mains,4
suffit,pas,4
donc,les,4
elle,venait,4
Il,vous,4
