Spécialités la vapeur,
Potage au poulet et aux vermicelles,
Soupe aux raviolis,
Potage fruits de mer à la citronneue,
Potage de crevettes à la citronnelle,
Omelette à la chair de crabe,
Omelette aux crevettes,
Coquilles Saint Jacques la sauce Piquante,
Coquilles Saint Jacques Sate,
Coquilles Saint Jacques au Basilic,
Nouilles Sautées Crevettes,
Nouilles Sautées Boeuf,
Nouilles Sautées Paulet,
Nouilles Sautées Porc,
Nouilles Sautées Nature,
Nouilles Croquantes aux Crevettes,
Nouilles Croquantes Boeuf,
Nouilles Croquantes Pavot,
Canard au Basilic,
Canard aux champignon noirs,
Saumon avocat,
Thon avocat,
Surimi avocat,
Thon cuit avocat,
Saumon cheese,
Avocat cheese,
Poulet avocat,
Crevette avocat,
Saumon fumé avocat,
Foie gras,
Saumon avocat épicé,
Thon avocat épicé,
Tempura crevette concombre,
Thon,
Œufs de saumon,
Saumon cheese,
Avocat,
Anguille,
Saumon fumé cheese-
Thon cuit,
Saumon avocat,
Crevettes avocat,
Cheese avocat,
Radis jaune,
Foie gras,
Saumon épice,
Thon épice,
Saumon avocat
Thon avocat,
California poulet,
Thon cuit avocat,
Avocat surimi,
Crevettes piquant,
Crevettes beignet,
Saumon fumé cheese avocat,
Saumon avocat,
Foie gras,
Saumon avocat épicé,
Thon avocat épicé,
Concombre cheese,
Surimi avocat,
Cheese saumon,
Thon cuit avocat,
Foie gras,
Thon avocat,
Thon cuit avocat,
Saumon cheese,
Tempura crevette concombre,
Boulettes de poulet,
Aile de poulet,
Bœuf au fromage,
Saumon chinois,
Tempura bœuf au fromage,
ROULEAU DE PRINTEMPS,
SALADE AUX CREVETTES, CRABE ou POULET,
SALADE AU BŒUF EPICEE,
SALADE AU CALAMAR EPICEE,
SALADE AUX CREVETTES EPICEE,
SOUPE VERMICELLE AU POULET,
POTAGE PEKINOIS,
POTAGE CRABE AUX ASPERGES,
SOUPE SPECIALE MAISON,
SOUPE THAILANDAISE AUX CREVEITES,
SOUPE AUX RAVIOLIS CHINOIS,
SOUPE PHO AUX BOULEITES DE BOEUF,
SOUPE NOUILLES AU CANARD,
NEMS au poulet
SAMOUSSAS AU BŒUF,
SAMOUSSA AUX LÉGUMES,
BEIGNETS DE CREVETTE,
PAPILLOTES AUX CREVEITES,
RAVIOLIS FRITS,
HORS-D'OEUVRE VARIE,
PINCES DE CRABE,
BROCHETTES DE CREVETTES GRILLEES



















