PREVIOUS,CURRENT
moment,ce
ce,confinement
confinement,vous
vous,fera
fera,péter
péter,une
une,durite
durite,Chez
Chez,nous
nous,ce
ce,sera
sera,le
le,6
6,mai
mai,:
:,«
«,Passée
Passée,l’euphorie
l’euphorie,des premiers
des premiers,apérovisio
apérovisio,des applaudissements
des applaudissements,sur le
sur le,balcon
balcon,et des chambouletout
et des chambouletout,de PQ
de PQ,tu
tu,vas
vas,bientôt
bientôt,basculer
basculer,dans la quatrième
dans la quatrième,dimension
dimension,»
»,Sacrebleu
Notre,coup
coup,de cœur
Gabriel,un
un,lecteur
lecteur,de Luçon
de Luçon,en Vendée
en Vendée,a
a,entamé
entamé,un
un,voyage
voyage,vers SaintJacquesdeCompostelle
vers SaintJacquesdeCompostelle,à vélo
Ou,presque
«,J’ai
J’ai,décidé
décidé,de refaire
de refaire,mon
mon,premier
premier,pèlerinage
pèlerinage,LuçonSantiago
LuçonSantiago,:
:,1
1,400
400,km
J’ai,enfilé
enfilé,mon
mon,gilet
gilet,jaune
jaune,mis
mis,mon
mon,casque
casque,et enfourché
et enfourché,mon
mon,vélo
vélo,d’appartement
d’appartement,sur ma
sur ma,terrasse
terrasse,J’ai
J’ai,bien
bien,sûr
sûr,ma
ma,carte
carte,déployée
déployée,à côté
à côté,de moi
de moi,Chaque
Chaque,jour
jour,scrupuleusement
scrupuleusement,je
je,refais
refais,le
le,trajet
trajet,Ce
Ce,soir
soir,je
je,suis
suis,à SaintAubindeBlaye
à SaintAubindeBlaye,et demain
et demain,je
je,franchis
franchis,la Gironde
la Gironde,à Blaye
à Blaye,Vous
Vous,trouverez
trouverez,une
une,photo
photo,de mon
de mon,départ
départ,»
On,se
se,retrouve
retrouve,demain
demain,matin
matin,à 10
à 10,heures
heures,sur le
sur le,«
«,direct
direct,»
»,consacré
consacré,à
à,nos
nos,vies
vies,confinées
confinées,».
Vous,avez
avez,rendezvous
rendezvous,avec
avec,la chroniqueuse
la chroniqueuse,Maïa
Maïa,Mazaurette
