PREVIOUS,CURRENT
retour,à l'école
à l'école,Pour
Pour,composer
composer,un
un,air
air,plus
plus,glamour
glamour,et plus
et plus,funky
funky,que
que,ce
ce,Covid19
anxiogène,l'artiste
l'artiste,a
a,choisi
choisi,de le
de le,transformer
transformer,en monstre
en monstre,débarqué
débarqué,de Vénus
tout,petit
petit,mais
mais,très
très,dangereux
Les,Terriens
Terriens,sont
sont,invités
invités,à remplir
à remplir,une
une,mission
mission,Lavezvous
Lavezvous,les
les,mains
mains,évitez
évitez,les
les,balades
dans les,endroits
endroits,bondés
bondés,Sur
Sur,une
une,guitare
guitare,joyeuse
joyeuse,et dansante
et dansante,Guillaume
Guillaume,Aldebert
Aldebert,égrène
nos,nouveaux
nouveaux,rituels
rituels,obligés
obligés,Tousser
Tousser,dans son
dans son,coude
coude,garder
garder,les
les,distances
distances,rester
rester,zen
zen,mais
mais,arrêter
arrêter,les
les,bisous
bisous,J'ai
J'ai,voulu
voulu,dédramatiser
dédramatiser,en faisant
en faisant,passer
passer,les
les,messages
messages,précis
précis,raconte
raconte,l'artiste
l'artiste,Pas
Pas,facile
facile,d'écrire
d'écrire,une
une,chanson
chanson,dans laquelle
dans laquelle,les
les,paroles
paroles,sont
sont,imposées
Le,refrain
refrain,fait
fait,un
un,clin
clin,d'oeil
d'oeil,à l'origine
à l'origine,du
du,virus
Nom,d'un
d'un,petit
petit,pangolin
pangolin,je
je,ne
ne,sais
sais,pas
pas,ce
ce,qui
qui,me
me,retient
retient,d'envoyer
d'envoyer,sur Vénus
sur Vénus,ce
ce,satané
satané,virus
nom,d'une
d'une,chauvesouris
chauvesouris,Les
Les,paroles
paroles,ont
ont,germé
germé,un
un,aprèsmidi
aprèsmidi,en cuisinant
en cuisinant,une
une,tarte
tarte,au chocolat
avec,ses
ses,enfants
enfants,On
On,fredonnait
fredonnait,Ah
Ah,nom
nom,d'un
d'un,petit
petit,pangolin
pangolin,la chanson
la chanson,est
est,née
née,comme
comme,ça
Les,fans
fans,d'Aldebert
d'Aldebert,et
et,les
les,autres
autres,aussi
aussi,sont
sont,invités
invités,à envoyer
à envoyer,sur son
sur son,site
une,vidéo
vidéo,rigolote
rigolote,pour alimenter
pour alimenter,le
le,clip
clip,Corona
Corona,Minus
Minus,Amusezvous
Amusezvous,dansez
dansez,déguisezvous
On,mêlera
mêlera,ces
ces,moments
moments,aux gestes
aux gestes,barrières
barrières,Vous
Vous,avez
avez,jusqu'au
jusqu'au,jeudi
jeudi,14
14,mai
mai,pour envoyer
pour envoyer,vos
vos,créations
Le,clip
clip,collaboratif
collaboratif,sera
sera,diffusé
diffusé,à partir
à partir,du
du,22
22,mai
mai,sur les
sur les,chaînes
chaînes,du
du,groupe
groupe,France
France,Télévisions
Les,droits
droits,de Corona
de Corona,Minus
Minus,seront
seront,reversés
reversés,à l'association
à l'association,Emmaüs
Emmaüs,Connect
Connect,qui
qui,oeuvre
oeuvre,à l'inclusion
numérique,des plus
des plus,fragiles
Confiné,à la campagne
à la campagne,en famille
L'artiste,est
est,resté
resté,confiné
confiné,avec
avec,son
son,épouse
épouse,et leurs
et leurs,trois
trois,enfants
enfants,de 2
de 2,4
4,et 7
et 7,ans
ans,dans le
dans le,Doubs
près de Besançon,Lison
Lison,Gabin
Gabin,et Charlie
et Charlie,vivent
vivent,sereinement
sereinement,la présence
la présence,du
du,Covid19
Covid19,Mon
Mon,épouse
est,médecin
médecin,généraliste
généraliste,et a
et a,expliqué
expliqué,le
le,virus
virus,aux enfants
aux enfants,avec
avec,des dessins
des dessins,sur sa
sur sa,chaîne
chaîne,Youtube
Le,coeur
coeur,net
net,Dans
Dans,sa
sa,maison
maison,à la campagne
à la campagne,la famille
la famille,a
a,alterné
alterné,les
les,activités
activités,comme
comme,les
les,courses
courses,d'obstacles
jeux,de société
de société,début
début,de construction
de construction,d'un
d'un,Lego
Lego,Star
Star,Wars
Wars,de 7000
de 7000,pièces
pièces,Et
Et,bien
bien,sûr
sûr,de la musique
Le,chanteur
chanteur,a
a,invité
invité,des amis
des amis,à distance
à distance,à re
à re,partager
partager,ses
ses,textes
textes,Les
Les,cinq
cinq,épisodes
épisodes,de son
Tour,à la maison
à la maison,sur Facebook
sur Facebook,NDLR
NDLR,en opposition
en opposition,au tour
au tour,du
du,monde
monde,qu'il
qu'il,avait
avait,entamé
entamé,pour préparer
son,prochain
prochain,album
album,sont
sont,à écouter
à écouter,sans modération
sans modération,Le
Le,6
6,e
e,et dernier
et dernier,sortira
sortira,la semaine
la semaine,prochaine
prochaine,avec
avec,Clarika
Clarika,Mathias
Mathias,Malzieu
Malzieu,Louis
Louis,Chedid
Ses,fils
fils,Charlie
Charlie,et Gabin
et Gabin,présentent
présentent,la vidéo
la vidéo,et chantent
et chantent,aussi
aussi,Aldebert
Aldebert,a
a,contacté
contacté,ceux
avec,qui
qui,il
il,avait
avait,déjà
déjà,travaillé
travaillé,Olivia
Olivia,Ruiz
Ruiz,Tryo
Tryo,Benabar
Benabar,Tété
Tété,Gauvain
Gauvain,Sers
Sers,partage
partage,sa
sa,Peur
Peur,du
du,noir
Sylvain,Duthu
Duthu,la
la,voix
voix,de Boulevard
de Boulevard,des Airs
des Airs,rend
rend,hommage
hommage,à Maman
à Maman,Noël
Noël,Claire
Claire,Keim
Keim,revient
revient,fredonner
Les,Amoureux
Amoureux,,
,,devant sa
devant sa,table
table,à repasser
à repasser,une
une,rose
rose,dans les
dans les,cheveux
cheveux,et Archimède
et Archimède,n'a
n'a,pas
pas,manqué
le,1
1,er
er,épisode
épisode,pour un
pour un,délicieux
délicieux,Taxidermiste
ARTICLE,14
La,violoniste
violoniste,de renommée
de renommée,internationale
internationale,Geneviève
Geneviève,Laurenceau
Laurenceau,est
est,restée
restée,confinée
dans une,maison
maison,de famille
de famille,à GrancampMaisy
à GrancampMaisy,Calvados
Calvados,Elle
Elle,avait
avait,prévu
prévu,de travailler
son,répertoire
répertoire,classique
classique,quand
quand,lui
lui,venue
venue,cette
cette,belle
belle,idée
idée,de lancer
de lancer,un
un,appel
appel,aux compositeurs
connus,ou
ou,anonymes
anonymes,pour qu'ils
pour qu'ils,écrivent
écrivent,un
un,morceau
morceau,pendant le
pendant le,confinement
Par,l'intermédiaire
l'intermédiaire,des réseaux
des réseaux,sociaux
sociaux,chacun
chacun,peut
peut,ainsi
ainsi,lui
lui,envoyer
envoyer,sa
sa,partition
à condition,qu'elle
qu'elle,soit
soit,courte
courte,et pour violon
et pour violon,seul
seul,Et
Et,la musicienne
la musicienne,l'enregistre
l'enregistre,dans la foulée
dans la foulée,!
Je,me
me,suis
suis,dit
dit,que
que,cette
cette,période
période,tellement
tellement,particulière
particulière,devait
devait,être
être,l'occasion
l'occasion,d'être
d'être,davantage
dans le,présent
présent,Nous
Nous,jouons
jouons,toujours
toujours,la musique
la musique,de grands
de grands,compositeurs
compositeurs,classiques
classiques,qui
qui,sont
sont,morts
Là,l'occasion
l'occasion,était
était,rêvée
rêvée,pour partager
pour partager,ce
ce,moment
moment,intense
intense,avec
avec,des compositeurs
des compositeurs,bien
bien,vivants
Que,deviendra
deviendra,la musique
la musique,si
si,on
on,ne
ne,joue
joue,pas
pas,les
les,compositeurs
compositeurs,d'aujourd'hui
d'aujourd'hui,?
Les,pièces
pièces,bouleversantes
bouleversantes,de compositeurs
de compositeurs,anonymes
Je,me
me,suis
suis,rendu
rendu,compte
compte,poursuit
poursuit,Geeviève
Geeviève,Laurenceau
Laurenceau,qu'il
qu'il,y
y,avait
avait,une
une,attente
attente,de tous
les,côtés
côtés,Un
Un,de mes
de mes,étudiants
étudiants,m'a
m'a,ainsi
ainsi,envoyé
envoyé,une
une,très
très,belle
belle,partition
partition,alors
alors,que
que,je
je,ne
ne,savais
savais,même
pas,qu'il
qu'il,composait
composait,J'en
J'en,ai
ai,reçu
reçu,une
une,autre
autre,d'un
d'un,musicien
musicien,qui
qui,m'avait
m'avait,vue
vue,en concert
en concert,il
il,y
y,a
a,quelques
quelques,années
C'est,incroyable
incroyable,Les
Les,gens
gens,ont
ont,ce
ce,besoin
besoin,de musique
de musique,de partage
de partage,C'est
C'est,une
une,expérience
expérience,merveilleuse
merveilleuse,qui
qui,va
va,bousculer
bousculer,durablement
durablement,mon
mon,rapport
rapport,à la musique
à la musique,et à mon
et à mon,métier
métier,»,
»,,s'enthousiasme
s'enthousiasme,la violoniste
ARTICLE,15
Il,faut
faut,dire
dire,que
que,son
son,initiative
initiative,rencontre
rencontre,un
un,succès
succès,inattendu
inattendu,D'abord
D'abord,parce
parce,que
le,nombre
nombre,d'auditeurs
d'auditeurs,explose
explose,mais
mais,aussi
aussi,parce
parce,que
que,plusieurs
plusieurs,compositeurs
compositeurs,souvent
souvent,anonymes
lui,ont
ont,transmis
transmis,des pièces
des pièces,qui
qui,la bouleversent
la bouleversent,ellemême
ellemême,J'ai
J'ai,vraiment
vraiment,reçu
reçu,des choses
très,belles
belles,émotionnellement
émotionnellement,Il
Il,y
y,a
a,de la joie
de la joie,de la violence
de la violence,C'est
C'est,sûr
sûr,que
que,ça
ça,va
va,se
prolonger,très
très,audelà
audelà,du
du,confinement
confinement,A tel
A tel,point
point,que
que,je
je,songe
songe,déjà
déjà,à un
à un,spectacle
qui,intégrera
intégrera,certains
certains,des morceaux
des morceaux,que
que,j'ai
j'ai,découverts
découverts,grâce à cette
grâce à cette,expérience
expérience,!
Que,fait
fait,un
un,scénariste
scénariste,de BD
de BD,d'humour
d'humour,pendant le
pendant le,confinement
Il,continue
continue,à essayer
à essayer,malgré l'ambiance
malgré l'ambiance,un
un,peu
peu,morose
morose,de trouver
de trouver,des gags
des gags,et de les
et de les,partager
C'est,le
le,cas
cas,de Sti
de Sti,de son
de son,vrai
vrai,nom
nom,Ronan
Ronan,Lefebvre
Lefebvre,auteur
auteur,à 45
à 45,ans
ans,de la série
de la série,à succès
les,Footmaniacs
Footmaniacs,17
17,tomes
tomes,chez Bamboo
chez Bamboo,un
un,million
million,d'exemplaires
d'exemplaires,vendus
vendus,mais
mais,aussi
depuis deux,albums
albums,des Profs
des Profs,5
5,millions
millions,d'exemplaires
d'exemplaires,en collaboration
en collaboration,avec
avec,leur
leur,créateur
créateur,Erroc
Confiné,au Havre
au Havre,malade
malade,quelques
quelques,jours
jours,du
du,coronavirus
coronavirus,comme
comme,sa
sa,compagne
il,n'a
n'a,pour autant
pour autant,pas
pas,lâché
lâché,le
le,crayon
crayon,C'est
C'est,un
un,peu
peu,plus
plus,difficile
difficile,que
que,d'habitude
Les,auteurs
auteurs,de BD
de BD,sont
sont,des ours
des ours,qui
qui,ont
ont,besoin
besoin,d'être
d'être,seuls
seuls,Là
Là,avec
avec,les
les,enfants
enfants,mon
mon,amie
amie,en permanence
à la maison,il
il,y
y,a
a,toujours
toujours,quelqu'un
quelqu'un,pour venir
pour venir,me
me,parler
parler,me
me,proposer
proposer,gentiment
gentiment,un
un,gâteau
gâteau,plaisantetil
Et,je
je,ne
ne,peux
peux,même
même,pas
pas,sortir
sortir,un
un,peu
peu,pour m'aérer
pour m'aérer,trouver
trouver,de l'inspiration
de l'inspiration,à l'extérieur
Si,on
on,peut
peut,faire
faire,rire
rire,les
les,gens
gens,cinq
cinq,minutes
A en croire,les
les,sites
sites,Internet
Internet,la source
la source,n'est
n'est,pas
pas,complètement
complètement,tarie
tarie,Sur
Sur,Facebook
il,imagine
imagine,avec
avec,Erroc
Erroc,et le
et le,dessinateur
dessinateur,Pica
Pica,les
les,différents
différents,Profs
Profs,»
»,en proie
en proie,au coronavirus
Pour,«
«,les
les,Footmaniacs
Footmaniacs,»,
»,,surtout
surtout,il
il,publie
publie,des minividéos
des minividéos,imaginant
les,conséquences
conséquences,de la pandémie
de la pandémie,pour les
pour les,joueurs
joueurs,et les
et les,amateurs
amateurs,de ballon
de ballon,rond
Si,on
on,peut
peut,faire
faire,rire
rire,les
les,gens
gens,cinq
cinq,minutes
minutes,leur
leur,faire
faire,oublier
oublier,le
le,confinement
confinement,et le
et le,virus
ça,serait
serait,vraiment
vraiment,dommage
dommage,de s'en
de s'en,priver
priver,Pour
Pour,nous
nous,c'est
c'est,aussi
aussi,une
une,petite
petite,récré
récré,très
très,sympa
D'autant,qu'avec
qu'avec,les
les,réseaux
réseaux,on
on,a
a,tout
tout,de suite
de suite,la réaction
la réaction,des fans
Je,crois
crois,que
que,c'est
c'est,devenu
devenu,une
une,sorte
sorte,de bonne
de bonne,habitude
habitude,chez les
chez les,auteurs
auteurs,de BD
de BD,A chaque
A chaque,coup
coup,dur
le,pays
pays,je
je,pense
pense,à Charlie
à Charlie,par exemple
par exemple,on
on,est
est,très
très,réactifs
réactifs,On
On,se
se,sent
sent,investi
investi,d'une
d'une,sorte
sorte,de mission
constate,Sti
En,l'occurrence
l'occurrence,le
le,travail
travail,de Sti
de Sti,ne
ne,sera
sera,pas
pas,seulement
seulement,de circonstance
Notre,prochain
prochain,album
album,qui
qui,devait
devait,paraître
paraître,en juin
en juin,était
était,consacré
consacré,à l'Euro
à l'Euro,de football
Comme,il
il,a
a,été
été,reporté
reporté,notre
notre,BD
BD,aussi
aussi,Alors
Alors,on
on,va
va,garder
garder,ces
ces,gags
le,confinement
confinement,pour construire
pour construire,le
le,nouveau
nouveau,Footmaniacs
Footmaniacs,qui
qui,devrait
devrait,sortir
sortir,cet
cet,été
annonce,le
le,scénariste
scénariste,qui
qui,cultive
cultive,un
un,espoir
espoir,Il
Il,y
y,a
a,plein
plein,d'opérations
d'opérations,en ce
en ce,moment
moment,sur Internet
pour découvrir,des albums
des albums,gratuitement
gratuitement,dont
dont,certains
certains,des miens
des miens,J'espère
J'espère,que
cela,donnera
donnera,envie
envie,à plein
à plein,de lecteurs
de lecteurs,une
une,fois
fois,que
que,ça
ça,sera
sera,derrière nous
derrière nous,d'aller
dans les,librairies
librairies,pour acheter
pour acheter,des BD
des BD,!
ARTICLE,16
Même,sans jouer
sans jouer,Kylian
Kylian,Mbappé
Mbappé,gagne
gagne,encore
encore,des trophées
des trophées,La
La,star
star,parisienne
parisienne,a
a,été
été,officiellement
reconnue,meilleur
meilleur,buteur
buteur,du
du,championnat
championnat,de France
de France,20192020
20192020,ce
ce,jeudi
la Ligue,de football
de football,professionnel
professionnel,grâce à ses
grâce à ses,18
18,buts
buts,Certes
Certes,le
le,Monégasque
Monégasque,Wissam
Ben,Yedder
Yedder,a
a,marqué
marqué,autant
autant,de fois
de fois,que
que,lui
lui,Mais
Mais,si
si,Mbappé
Mbappé,est
est,sacré
sacré,pour la deuxième
pour la deuxième,saison
d'affilée,meilleur
meilleur,buteur
buteur,de L
de L,1
1,c'est
c'est,parce
parce,qu'il
qu'il,a
a,inscrit
inscrit,tous
tous,ses
ses,buts
buts,dans le
dans le,jeu
jeu,alors
alors,que
Ben,Yedder
Yedder,a
a,marqué
marqué,trois
trois,de ses
de ses,18
18,réalisations
réalisations,sur coups
sur coups,de pied
de pied,arrêtés
C'est,ainsi
ainsi,que
que,le
le,règlement
règlement,départage
départage,les
les,joueurs
joueurs,exaequo
L'an,dernier
dernier,Mbappé
Mbappé,avait
avait,logiquement
logiquement,inscrit
inscrit,plus
plus,de buts
de buts,33
33,puisque
puisque,la saison
la saison,était
était,allée
allée,à son
à son,terme
Et,son
son,ratio
ratio,buts
buts,marqués/matchs
marqués/matchs,joués
joués,est
est,moins
moins,élevé
élevé,cette
cette,année
année,09
09,but
but,par match
par match,contre 114
contre 114,il
il,y
y,a
a,un
un,an
On,peut
peut,noter
noter,que
que,le
le,champion
champion,du
du,monde
monde,est
est,vraiment
vraiment,un
un,renard
renard,des surfaces
des surfaces,puisqu'il
a,marqué
marqué,17
17,de ses
de ses,18
18,buts
buts,dans les
dans les,16
16,derniers
derniers,mètres
Di,Maria
Maria,confirmé
confirmé,meilleur
meilleur,passeur
Double,meilleur
meilleur,buteur
buteur,de L
de L,1
1,Mbappé
Mbappé,rejoint
rejoint,trois
trois,attaquants
attaquants,parisiens
parisiens,:
Edinson,Cavani
Cavani,auteur
auteur,de la même
de la même,performance
performance,en 2017
en 2017,et 2018
et 2018,Pedro
Pedro,Miguel
Miguel,Pauleta
Pauleta,et Carlos
Bianchi,Le
Le,record
record,d'un
d'un,joueur
joueur,du
du,PSG
PSG,dans cet
dans cet,exercice
exercice,est
est,toujours
toujours,détenu
détenu,par Zlatan
par Zlatan,Ibrahimovic
triple,meilleur
meilleur,buteur
Mais,c'est
c'est,la première
la première,fois
fois,depuis 22
depuis 22,ans
ans,et le
et le,doublé
doublé,19971998
19971998,de Stéphane
de Stéphane,Guivarc'h
qu'un,joueur
joueur,français
français,remporte
remporte,deux
deux,ans
ans,de suite
de suite,ce
ce,trophée
trophée,honorifique
Pour,qu'il
qu'il,y
y,ait
ait,des buteurs
des buteurs,il
il,faut
faut,des passeurs
des passeurs,Et
Et,Mbappé
Mbappé,peut
peut,remercier
remercier,deux
deux,coéquipiers
coéquipiers,:
Neymar,et Angel
et Angel,Di
Di,Maria
Maria,qui
qui,lui
lui,ont
ont,distillé
distillé,six
six,passes
passes,décisives
décisives,chacun
chacun,Les
Les,autres
autres,passeurs
sur les,buts
buts,de KMB
de KMB,s'appellent
s'appellent,Juan
Juan,Bernat
Bernat,Edinson
Edinson,Cavani
Cavani,Thomas
Thomas,Meunier
Meunier,et Julian
et Julian,Draxler
Concernant,les
les,passeurs
passeurs,justement
justement,Angel
Angel,Di
Di,Maria
Maria,avec
avec,14
14,passes
passes,décisives
en Ligue,1
1,a
a,été
été,logiquement
logiquement,désigné
désigné,meilleur
meilleur,passeur
passeur,du
du,championnat
ARTICLE,17
La,statue
statue,du
du,Sphinx
Sphinx,de Gizeh
de Gizeh,trône
trône,depuis plus
depuis plus,de quatre
de quatre,millénaires
millénaires,au pied
au pied,des grandes
des grandes,pyramides
Celle,de Robert
de Robert,Herbin
Herbin,le
le,sphinx
sphinx,stéphanois
stéphanois,décédé
décédé,mardi
mardi,à 81
à 81,ans
ans,pourrait
pourrait,bientôt
bientôt,se
se,poser
au pied,de GeoffroyGuichard
de GeoffroyGuichard,le
le,mythique
mythique,stade
stade,des Verts
L'idée,a
a,d'abord
d'abord,été
été,lancée
lancée,par un
par un,site
site,peuplevertfr
peuplevertfr,qui
qui,a
a,recueilli
recueilli,près de 4
près de 4,000
000,signatures
sur une,pétition
pétition,en ligne
en ligne,C'est
C'est,quelque
quelque,chose
chose,qui
qui,se
se,fait
fait,beaucoup
beaucoup,en Angleterre
en Angleterre,et pas
et pas,du
du,tout
tout,en France
explique,Alexandre
Alexandre,Sanfilippo
Sanfilippo,le
le,créateur
créateur,du
du,site
site,GeoffroyGuichard
GeoffroyGuichard,est
est,un
un,stade
stade,à l'anglaise
et l'idée,nous
nous,semble
semble,coller
coller,parfaitement
parfaitement,à l'histoire
à l'histoire,de notre
de notre,club
Le,club
club,de SaintEtienne
de SaintEtienne,a
a,déjà
déjà,décidé
décidé,de baptiser
de baptiser,son
son,centre
centre,d'entraînement
d'entraînement,du
du,nom
nom,d'Herbin
mais,ne
ne,peut
peut,rien
rien,faire
faire,devant ou
devant ou,à l'intérieur
à l'intérieur,du
du,stade
stade,Nous
Nous,ne
ne,sommes
sommes,que
que,locataire
locataire,exclusif
du,stade
stade,et cela
et cela,signifie
signifie,que
que,nous
nous,ne
ne,pouvons
pouvons,y
y,construire
construire,ce
ce,qu'on
qu'on,veut
veut,expliqueton
expliqueton,au club
Mais,nous
nous,soutenons
soutenons,cette
cette,belle
belle,idée
La,Métropole
Métropole,pas
pas,opposée
Le,stade
stade,appartient
appartient,à la Métropole
à la Métropole,de SaintEtienne
de SaintEtienne,et le
et le,maire
maire,LR
LR,de la ville
de la ville,et aussi
et aussi,président
de l'intercommunalité,Gaël
Gaël,Perdriau
Perdriau,est
est,loin d'y
loin d'y,être
être,opposé
opposé,«
«,Nous
Nous,devons
devons,rendre
rendre,à Herbin
l'hommage,qu'il
qu'il,mérite
mérite,lâche
lâche,ce
ce,dernier
dernier,Toutes
Toutes,les
les,pistes
pistes,sont
sont,étudiées
étudiées,On
On,peut
peut,imaginer
imaginer,lui
lui,donner
le,nom
nom,d'une
d'une,tribune
tribune,du
du,stade
stade,ou
ou,bien
bien,effectivement
effectivement,de lui
de lui,construire
construire,une
une,statue
statue,»
Pour,Gaël
Gaël,Perdriau
Perdriau,un
un,consensus
consensus,municipal
municipal,serait
serait,facilement
facilement,trouvé
Je,ne
ne,crois
crois,pas
pas,qu'un
qu'un,vote
vote,soit
soit,nécessaire
nécessaire,pour décider
pour décider,de rendre
de rendre,hommage
hommage,à Herbin
à Herbin,poursuitil
Il,a
a,tant
tant,fait
fait,pour la ville
pour la ville,Après
Après,il
il,faudra
faudra,se
se,poser
poser,des questions
des questions,comme
comme,Qui
Qui,paie
paie,la construction
ou,Où
Où,la poseraton
la poseraton,?
?,Mais
Mais,il
il,faudra
faudra,faire
faire,quelque
quelque,chose
chose,de beau
de beau,pour que
pour que,les
les,Stéphanois
qui,en sont
en sont,empêchés
empêchés,en ce
en ce,moment
moment,puissent
puissent,se
se,recueillir
Un,hommage
hommage,revu
revu,à cause
à cause,du
du,confinement
Le,cercueil
cercueil,d'Herbin
d'Herbin,qui
qui,sera
sera,inhumé
inhumé,lundi
lundi,4
4,mai
mai,devait
devait,être
être,visible
visible,par les
par les,Stéphanois
Stéphanois,ce
ce,weekend
weekend,mais
mais,la préfecture
la préfecture,de la Loire
de la Loire,pour limiter
pour limiter,les
les,risques
risques,sanitaires
sanitaires,liés
liés,de pandémie
de pandémie,a
a,décidé
décidé,d'annuler
d'annuler,son
son,exposition
exposition,La
La,mairie
mairie,en attendant
en attendant,mieux
mieux,fera
fera,installer
installer,dès mercredi
dès mercredi,prochain
prochain,sur la façade
sur la façade,de l'hôtel
de l'hôtel,de ville
de ville,une
une,immense
immense,bâche
bâche,avec
avec,le
le,visage
visage,du
du,coach
coach,disparu
disparu,et les
et les,mots
mots,«
«,Merci
Merci,Robert
Robert,Herbin
Herbin,».
Il,a
a,fallu
fallu,trouver
trouver,en quelques
en quelques,jours
jours,une
une,entreprise
entreprise,capable
capable,en plein
en plein,confinement
de confectionner,cette
cette,bâche
bâche,poursuit
poursuit,Gaël
Gaël,Perdriau
Perdriau,En
En,parallèle
parallèle,sur le
sur le,site
site,officiel
de la ville,saintetiennefr
saintetiennefr,nous
nous,ouvrirons
ouvrirons,un
un,livre
livre,d'or
d'or,afin
afin,que
que,chacun
chacun,y
y,dépose
dépose,un
un,mot
mot,d'hommage
Mais,nous
nous,ferons
ferons,mieux
mieux,après le
après le,confinement
ARTICLE,18
Par,HM
Le,30
30,avril
avril,2020
2020,à 12h00
à 12h00,modifié
modifié,le
le,2
2,mai
mai,2020
2020,à 09h44
On,connaissait
connaissait,la dictée
la dictée,de Bernard
de Bernard,Pivot
Vous,allez
allez,apprendre
apprendre,à découvrir
à découvrir,celle
celle,de Guy
de Guy,Stéphan
Stéphan,l'adjoint
l'adjoint,de Didier
de Didier,Deschamps
Deschamps,chez les
chez les,Bleus
Bleus,Afin
Afin,d'offrir
d'offrir,un
un,moment
moment,amusant
amusant,aux parents
aux parents,et aux enfants
et aux enfants,dans leur
dans leur,journée
journée,d'enseignement
d'enseignement,et d'apprentissage
et d'apprentissage,la Fondation
la Fondation,UEFA
UEFA,pour l'enfance
pour l'enfance,a
a,invité
invité,en effet
en effet,des joueurs
des joueurs,et des entraîneurs
et des entraîneurs,parmi les
parmi les,meilleurs
meilleurs,d'Europe
d'Europe,à devenir
à devenir,des
des,Champions
Champions,Teachers
Teachers,».
Les,personnalités
personnalités,invitées
invitées,comme
comme,Guy
Guy,Stéphan
Stéphan,donc
donc,l'attaquant
du,RB
RB,Leipzig
Leipzig,et de la Suède
et de la Suède,Emil
Emil,Forsberg
Forsberg,la milieu
la milieu,de terrain
de terrain,de Wolfsburg
PaysBas,Dominique
Dominique,Bloodworth
Bloodworth,et la milieu
et la milieu,de terrain
de terrain,espagnole
espagnole,de l'Atlético
de l'Atlético,Madrid
Madrid,Amanda
Amanda,Sampedro
feront,sourire
sourire,les
les,enfants
enfants,grâce à leur
grâce à leur,interprétation
interprétation,d'une
d'une,leçon
leçon,d'école
d'école,vieille
vieille,comme
comme,le
le,monde
monde,:
Un,retour
retour,aux sources
L'exercice,est
est,destiné
destiné,aux enfants
aux enfants,âgés
âgés,de 6
de 6,à 12
à 12,ans
ans,et est
et est,disponible
disponible,en anglais
en anglais,en français
en espagnol,et en néerlandais
et en néerlandais,Les
Les,enfants
enfants,doivent
doivent,simplement
simplement,se
se,munir
munir,d'un
d'un,stylo
stylo,et d'une
et d'une,feuille
feuille,de papier
puis,choisir
choisir,une
une,vidéo
vidéo,et écrire
et écrire,un
un,court
court,extrait
extrait,d'un
d'un,célèbre
célèbre,livre
livre,ou
ou,poème
poème,pour enfants
pour enfants,lu
lu,par la star
qui,fait
fait,office
office,de Champions
de Champions,Teacher
Teacher,Le
Le,corrigé
corrigé,de la dictée
de la dictée,peut
peut,ensuite
ensuite,être
être,téléchargé
téléchargé,au format
au format,PDF
Guy,Stéphan
Stéphan,a
a,lu
lu,lui
lui,le
le,Cancre
Cancre,»
»,la poésie
la poésie,de Jacques
de Jacques,Prévert
Prévert,«
«,On
On,m'avait
m'avait,proposé
proposé,une
une,liste
textes,avec
avec,notamment
notamment,le
le,petit
petit,chaperon
chaperon,rouge
rouge,Mais
Mais,je
je,n'étais
n'étais,pas
pas,obligé
obligé,d'en
d'en,retenir
retenir,un
J'ai,préféré
préféré,choisir
choisir,le
le,Cancre
Cancre,Ca
Ca,correspond
correspond,bien
bien,à l'école
à l'école,je
je,trouve
Ce,poème
poème,montre
montre,qu'on
qu'on,peut
peut,réussir
réussir,sans être
sans être,vraiment
vraiment,dans les
dans les,clous
Il,n'y
n'y,a
a,pas
pas,de ponctuation
de ponctuation,il
il,s'agit
s'agit,d'une
d'une,de ses
de ses,originalités
mais,il
il,n'est
n'est,pas
pas,très
très,difficile
difficile,pour autant
Homme,de cœur
de cœur,et de conviction
et de conviction,Guy
Guy,Stéphan
Stéphan,s'est
s'est,prêté
prêté,volontiers
volontiers,à cet
à cet,exercice
Il,s'agit
s'agit,un
un,peu
peu,pour l'adjoint
pour l'adjoint,de Deschamps
de Deschamps,d'un
d'un,retour
retour,aux sources
aux sources,Joueur
Joueur,à Guingamp
à la fin,des années
des années,1970
1970,il
il,avait
avait,su
su,mener
mener,de front
de front,et avec
et avec,succès
succès,des études
des études,de professeur
d'éducation,physique
Par,ailleurs
ailleurs,Stéphan
Stéphan,également
également,ancien
ancien,joueur
joueur,de l'US
de l'US,Orléans
a,offert
offert,un
un,maillot
maillot,dédicacé
dédicacé,des Bleus
des Bleus,après leur
après leur,titre
titre,mondial
mondial,remporté
remporté,en 2018
en 2018,au profit
de la vente,d'un
d'un,cœur
cœur,Un
Un,Maillot
Maillot,Les
Les,bénéfices
bénéfices,seront
seront,également
également,reversés
via le,fonds
fonds,de dotation
de dotation,J'aime
J'aime,mon
mon,enfant
enfant,différent
différent,
,au personnel
au personnel,soignant
en priorité,du
du,centre
centre,hospitalier
hospitalier,régional
régional,d'Orléans
d'Orléans,qui
qui,lutte
lutte,contre l'épidémie
contre l'épidémie,du
du,coronavirus
À,ce
ce,jour
jour,les
les,enchères
enchères,qui
qui,s'achèvent
s'achèvent,le
le,dimanche
dimanche,3
3,mai
mai,ont
ont,déjà
déjà,atteint
atteint,la somme
la somme,de 5200
de 5200,euros
POEME,1
L',immense
immense,mer
mer,sommeille
sommeille,Elle
Elle,hausse
hausse,et balance
Ses,houles
houles,où
où,le
le,ciel
ciel,met
met,d'
d',éclatants
éclatants,îlots
Une,nuit
nuit,d'
d',or
or,emplit
emplit,d'
d',un
un,magique
magique,silence
La,merveilleuse
